num, time, PAT, eSBP, eDBP, iSBP, iDBP
140,101193,194,119.694,47.9355,125.998,50.3413
141,101900,190,125.523,49.4644,129.781,50.7286
142,102620,191,124.054,49.0792,133.882,49.4297
143,103328,193,121.14,48.3148,126.659,48.0397
144,104040,194,119.694,47.9355,124.836,51.7997
145,104752,188,128.484,50.2409,131.9,49.5437
146,105465,190,125.523,49.4644,130.214,48.9056
147,106173,194,119.694,47.9355,126.18,48.2903
148,106884,193,121.14,48.3148,127.752,58.431
149,107596,183,136.026,52.2191,134.042,52.0731
150,108302,189,127,49.8517,128.482,49.6804
151,109009,194,119.694,47.9355,125.724,48.2447
152,109717,185,132.984,51.4214,132.766,52.0276
153,110431,186,131.476,51.0258,130.1,49.6576
154,111139,195,118.255,47.5582,126.408,48.6777
155,111852,189,127,49.8517,130.236,51.0477
156,112565,191,124.054,49.0792,131.49,49.6348
157,113273,194,119.694,47.9355,126.841,48.7917
158,113982,188,128.484,50.2409,129.142,50.5236
159,114695,179,142.209,53.8409,131.49,49.6348
160,115404,195,118.255,47.5582,126.203,49.1335
161,116114,193,121.14,48.3148,126.476,47.6978
162,116820,185,132.984,51.4214,132.88,52.3238
163,117534,187,129.976,50.6323,128.231,49.7943
164,118245,195,118.255,47.5582,125.519,48.2675
165,118954,191,124.054,49.0792,128.527,49.5665
166,119663,188,128.484,50.2409,133.541,50.4324
167,120367,191,124.054,49.0792,127,49.6348
168,121069,193,121.14,48.3148,124.836,48.7689
169,121570,196,116.824,47.1828,124.858,45.9887
170,122379,174,150.136,55.9199,139.443,46.0115
171,123103,197,115.4,46.8094,124.083,47.5155
172,123819,191,124.054,49.0792,125.428,48.0169
173,124534,193,121.14,48.3148,127.57,49.8171
174,125250,187,129.976,50.6323,133.563,49.5437
175,125960,193,121.14,48.3148,127.183,48.0169
176,126672,190,125.523,49.4644,125.679,51.3211
177,127383,188,128.484,50.2409,131.307,49.2246
178,128102,190,125.523,49.4644,131.467,49.293
179,128811,193,121.14,48.3148,127.411,48.5866
180,129520,191,124.054,49.0792,128.641,51.3211
181,130229,187,129.976,50.6323,132.925,49.293
182,130944,189,127,49.8517,132.811,49.6804
183,131653,192,122.593,48.696,128.277,49.4525
184,132362,192,122.593,48.696,128.755,51.5034
185,133080,183,136.026,52.2191,134.885,51.5034
186,133786,193,121.14,48.3148,128.527,49.9994
187,134496,193,121.14,48.3148,125.838,47.9485
188,135206,183,136.026,52.2191,133.358,52.3466
189,135912,190,125.523,49.4644,130.373,50.0906
190,136619,192,122.593,48.696,126.613,48.9968
191,137325,192,122.593,48.696,130.054,50.797
192,138044,187,129.976,50.6323,132.766,49.7943
193,138753,189,127,49.8517,127.844,49.4525
194,139466,193,121.14,48.3148,127.433,48.8828
195,140185,182,137.559,52.6212,133.837,52.2099
196,140895,192,122.593,48.696,128.322,50.1362
197,141612,194,119.694,47.9355,126.089,47.6067
198,142329,186,131.476,51.0258,132.15,51.8225
199,143048,187,129.976,50.6323,130.874,49.8627
200,143764,194,119.694,47.9355,127.228,48.9968
201,144480,194,119.694,47.9355,128.892,49.6804
202,145206,187,129.976,50.6323,135.204,50.3413
203,145925,192,122.593,48.696,127.752,48.8828
204,146644,195,118.255,47.5582,126.112,48.4043
205,147363,194,119.694,47.9355,128.687,48.3815
206,148087,185,132.984,51.4214,134.52,49.5437
207,148806,189,127,49.8517,128.436,48.1536
208,149525,195,118.255,47.5582,126.567,50.0678
209,150242,190,125.523,49.4644,130.419,50.0678
210,150960,185,132.984,51.4214,134.748,57.7474
211,151673,187,129.976,50.6323,128.163,49.8627
212,152383,199,112.574,46.0681,126.59,48.6094
213,153089,188,128.484,50.2409,132.538,52.0504
214,153804,190,125.523,49.4644,132.811,50.1362
215,154518,191,124.054,49.0792,128.39,49.4981
216,155233,190,125.523,49.4644,129.644,49.612
217,155958,183,136.026,52.2191,135.728,50.7742
218,156673,192,122.593,48.696,128.937,50.0906
219,157386,193,121.14,48.3148,126.864,48.6094
220,158097,187,129.976,50.6323,134.406,52.7796
221,158810,187,129.976,50.6323,132.971,50.8198
222,159522,194,119.694,47.9355,127.57,48.9284
223,160232,191,124.054,49.0792,129.12,49.293
224,160952,189,127,49.8517,132.082,48.974
225,161657,189,127,49.8517,132.014,50.3868
226,162370,181,139.101,53.0255,135.865,53.3265
227,163074,189,127,49.8517,129.94,50.8426
228,163783,194,119.694,47.9355,128.094,49.3386
229,164496,193,121.14,48.3148,130.236,49.4069
230,165222,186,131.476,51.0258,135.66,50.6603
231,165944,192,122.593,48.696,129.165,49.8627
232,166669,195,118.255,47.5582,126.567,47.789
233,167398,188,128.484,50.2409,134.27,51.2984
234,168128,186,131.476,51.0258,130.1,49.5437
235,168859,195,118.255,47.5582,125.451,48.1992
236,169590,189,127,49.8517,130.191,49.2246
237,170329,188,128.484,50.2409,130.533,48.2675
238,171058,194,119.694,47.9355,125.2,48.7689
239,171781,190,125.523,49.4644,127.889,49.612
240,172515,186,131.476,51.0258,132.424,49.0651
241,173243,193,121.14,48.3148,125.314,47.47
242,173966,195,118.255,47.5582,123.24,51.4807
243,174693,183,136.026,52.2191,131.626,49.1563
244,175423,192,122.593,48.696,127.638,48.108
245,176149,191,124.054,49.0792,124.129,49.9539
246,176867,192,122.593,48.696,127.57,50.0906
247,177595,184,134.501,51.8192,131.604,49.0651
248,178315,194,119.694,47.9355,124.494,47.2649
249,179031,197,115.4,46.8094,122.101,51.4123
250,179753,185,132.984,51.4214,131.33,49.4981
251,180465,190,125.523,49.4644,126.636,48.3131
252,181178,194,119.694,47.9355,122.967,53.7139
253,181890,189,127,49.8517,127.274,50.3413
254,182610,190,125.523,49.4644,129.803,49.4069
255,183322,195,118.255,47.5582,124.38,48.7005
256,184036,192,122.593,48.696,123.719,47.47
257,184754,184,134.501,51.8192,131.193,51.6402
258,185468,190,125.523,49.4644,126.613,49.3614
259,186183,192,122.593,48.696,123.673,48.6549
260,186896,191,124.054,49.0792,126.157,49.2246
261,187612,185,132.984,51.4214,132.333,49.6576
262,188325,192,122.593,48.696,125.155,49.1791
263,189038,195,118.255,47.5582,123.445,47.7662
264,189750,185,132.984,51.4214,131.968,51.7769
265,190458,189,127,49.8517,128.573,49.9539
266,191160,193,121.14,48.3148,125.701,49.5665
267,191864,189,127,49.8517,128.527,49.5665
268,192568,187,129.976,50.6323,134.703,50.8654
269,193269,189,127,49.8517,128.801,48.974
