num, time, PAT, eSBP, eDBP, tSBP, tDBP
211,159545,206,0,0,0,0
212,160425,210,0,0,0,0
213,161192,212,0,0,0,0
214,161958,193,0,0,0,0
215,162729,205,0,0,0,0
216,163521,211,0,0,0,0
217,164304,199,0,0,0,0
218,165024,208,0,0,0,0
219,165764,191,0,0,0,0
220,166512,174,0,0,0,0
221,167244,182,0,0,0,0
222,167961,182,0,0,0,0
223,168664,200,0,0,0,0
224,169347,197,0,0,0,0
225,170011,210,0,0,0,0
226,170662,139,0,0,0,0
227,171315,201,0,0,0,0
228,171969,195,0,0,0,0
229,172638,198,0,0,0,0
230,173314,197,0,0,0,0
231,174009,191,0,0,0,0
232,174689,191,0,0,0,0
233,175365,234,0,0,0,0
234,176025,196,0,0,0,0
235,176683,221,0,0,0,0
236,177334,156,0,0,0,0
237,177975,206,0,0,0,0
238,178603,210,0,0,0,0
239,179233,196,0,0,0,0
240,179881,191,0,0,0,0
241,180601,192,0,0,0,0
242,181381,195,0,0,0,0
243,182222,142,0,0,0,0
244,182943,248,0,0,0,0
245,183710,201,0,0,0,0
246,184440,197,0,0,0,0
247,185171,207,0,0,0,0
248,185928,218,0,0,0,0
249,186717,207,0,0,0,0
250,187523,215,0,0,0,0
251,188282,186,0,0,0,0
252,189059,197,0,0,0,0
253,189873,208,0,0,0,0
254,190703,201,0,0,0,0
255,191515,205,0,0,0,0
256,192286,211,0,0,0,0
257,193076,205,0,0,0,0
258,193845,205,0,0,0,0
259,194593,216,0,0,0,0
260,195297,205,0,0,0,0
261,196004,200,0,0,0,0
262,196735,187,0,0,0,0
263,197538,198,0,0,0,0
264,198385,93,0,0,0,0
265,199263,245,0,0,0,0
266,200153,80,0,0,0,0
267,200936,219,0,0,0,0
268,201703,216,0,0,0,0
269,202471,217,0,0,0,0
270,203234,212,0,0,0,0
271,204011,203,0,0,0,0
272,204760,202,0,0,0,0
273,205532,204,0,0,0,0
274,206308,208,0,0,0,0
275,207044,202,0,0,0,0
276,207859,195,0,0,0,0
277,208696,207,0,0,0,0
278,209494,205,0,0,0,0
279,210308,204,0,0,0,0
280,211146,199,0,0,0,0
281,211894,204,0,0,0,0
282,212644,212,0,0,0,0
283,213354,218,0,0,0,0
284,214038,202,0,0,0,0
285,214717,200,0,0,0,0
286,215376,203,0,0,0,0
287,216025,188,0,0,0,0
288,216662,-1,0,0,0,0
289,217298,240,0,0,0,0
290,219248,208,0,0,0,0
291,219809,386,0,0,0,0
292,220349,-1,0,0,0,0
293,220846,237,0,0,0,0
294,221880,58,0,0,0,0
295,222549,231,0,0,0,0
296,223370,295,0,0,0,0
297,224204,42,0,0,0,0
298,225036,540,0,0,0,0
299,225819,-1,0,0,0,0
300,226640,258,0,0,0,0
301,227432,130,0,0,0,0
302,228378,175,0,0,0,0
303,229286,-1,0,0,0,0
304,229573,330,0,0,0,0
305,230234,107,0,0,0,0
306,230671,-1,0,0,0,0
307,231125,227,0,0,0,0
308,231806,462,0,0,0,0
309,232946,278,0,0,0,0
310,233782,160,0,0,0,0
311,234662,249,0,0,0,0
312,235488,224,0,0,0,0
313,236405,217,0,0,0,0
314,237078,-1,0,0,0,0
315,237371,223,0,0,0,0
316,239013,217,0,0,0,0
317,239775,248,0,0,0,0
318,240472,233,0,0,0,0
319,241813,220,0,0,0,0
320,242440,232,0,0,0,0
321,243066,223,0,0,0,0
322,243681,226,0,0,0,0
323,244300,185,0,0,0,0
324,244913,230,0,0,0,0
325,245519,227,0,0,0,0
326,246122,219,0,0,0,0
327,246725,215,0,0,0,0
328,247328,210,0,0,0,0
329,247932,217,0,0,0,0
330,248530,212,0,0,0,0
331,249133,205,0,0,0,0
332,249797,144,0,0,0,0
333,250347,207,0,0,0,0
334,250958,210,0,0,0,0
335,251576,204,0,0,0,0
336,252206,195,0,0,0,0
337,252858,191,0,0,0,0
338,253544,191,0,0,0,0
339,254258,189,0,0,0,0
340,254999,148,0,0,0,0
341,255720,210,0,0,0,0
342,256408,200,0,0,0,0
343,257075,205,0,0,0,0
344,257712,204,0,0,0,0
345,258348,201,0,0,0,0
346,259010,196,0,0,0,0
347,259741,200,0,0,0,0
348,260467,203,0,0,0,0
349,261218,198,0,0,0,0
350,261988,194,0,0,0,0
351,262754,201,0,0,0,0
352,263477,199,0,0,0,0
353,264205,195,0,0,0,0
354,264984,194,0,0,0,0
355,265797,201,0,0,0,0
356,266611,207,0,0,0,0
357,267368,210,0,0,0,0
358,268108,205,0,0,0,0
359,268852,199,0,0,0,0
360,269621,199,0,0,0,0
361,270399,198,0,0,0,0
362,271215,196,0,0,0,0
363,272062,206,0,0,0,0
364,272831,208,0,0,0,0
365,273594,206,0,0,0,0
366,274368,201,0,0,0,0
367,275148,215,0,0,0,0
368,275880,212,0,0,0,0
369,276608,203,0,0,0,0
370,277366,200,0,0,0,0
371,278175,203,0,0,0,0
372,279012,214,0,0,0,0
373,279764,209,0,0,0,0
374,280565,205,0,0,0,0
375,281388,202,0,0,0,0
376,282144,206,0,0,0,0
377,282931,202,0,0,0,0
378,283742,205,0,0,0,0
379,284500,-1,0,0,0,0
