num, time, PAT, eSBP, eDBP, tSBP, tDBP
212,179891,204,0,0,0,0
213,180689,202,0,0,0,0
214,181461,203,0,0,0,0
215,181915,204,0,0,0,0
216,182256,202,0,0,0,0
217,183054,210,0,0,0,0
218,183854,209,0,0,0,0
219,184635,214,0,0,0,0
220,185416,213,0,0,0,0
221,186235,217,0,0,0,0
222,187066,219,0,0,0,0
223,187889,220,0,0,0,0
224,188743,218,0,0,0,0
225,189649,220,0,0,0,0
226,190596,221,0,0,0,0
227,191535,221,0,0,0,0
228,192453,222,0,0,0,0
229,193386,222,0,0,0,0
230,194328,232,0,0,0,0
231,195285,232,0,0,0,0
232,196216,230,0,0,0,0
233,197095,227,0,0,0,0
234,197976,224,0,0,0,0
235,198860,212,0,0,0,0
236,199711,209,0,0,0,0
237,200493,210,0,0,0,0
238,201234,208,0,0,0,0
239,202039,212,0,0,0,0
240,202926,210,0,0,0,0
241,203896,210,0,0,0,0
242,204865,210,0,0,0,0
243,205811,195,0,0,0,0
244,206746,190,0,0,0,0
245,207648,194,0,0,0,0
246,208514,194,0,0,0,0
247,209348,194,0,0,0,0
248,210134,210,0,0,0,0
249,210924,210,0,0,0,0
250,211736,209,0,0,0,0
251,212603,206,0,0,0,0
252,213517,204,0,0,0,0
253,214450,204,0,0,0,0
254,215376,180,0,0,0,0
255,216249,178,0,0,0,0
256,217130,178,0,0,0,0
257,218010,179,0,0,0,0
258,218885,179,0,0,0,0
259,219784,203,0,0,0,0
260,220690,205,0,0,0,0
261,221557,207,0,0,0,0
262,222445,207,0,0,0,0
263,223294,207,0,0,0,0
264,224167,207,0,0,0,0
265,225078,207,0,0,0,0
266,225995,207,0,0,0,0
267,226869,207,0,0,0,0
268,227769,207,0,0,0,0
269,228685,208,0,0,0,0
270,229568,209,0,0,0,0
271,230414,196,0,0,0,0
272,231202,197,0,0,0,0
273,231985,190,0,0,0,0
274,232664,188,0,0,0,0
275,233386,188,0,0,0,0
276,234113,200,0,0,0,0
277,234864,199,0,0,0,0
278,235668,206,0,0,0,0
279,236510,207,0,0,0,0
280,237367,207,0,0,0,0
281,238212,208,0,0,0,0
282,239042,210,0,0,0,0
283,239838,210,0,0,0,0
284,240635,210,0,0,0,0
285,241448,209,0,0,0,0
286,242259,209,0,0,0,0
287,243128,208,0,0,0,0
288,244070,208,0,0,0,0
289,245004,208,0,0,0,0
290,245969,209,0,0,0,0
291,246945,209,0,0,0,0
292,247924,210,0,0,0,0
293,248901,211,0,0,0,0
294,249793,212,0,0,0,0
295,250670,212,0,0,0,0
296,251536,213,0,0,0,0
297,252404,213,0,0,0,0
298,253272,213,0,0,0,0
299,254132,214,0,0,0,0
300,254999,214,0,0,0,0
301,255859,213,0,0,0,0
302,256727,214,0,0,0,0
303,257581,212,0,0,0,0
304,258424,212,0,0,0,0
305,259269,211,0,0,0,0
306,260111,208,0,0,0,0
307,260943,205,0,0,0,0
308,261714,205,0,0,0,0
309,262508,203,0,0,0,0
310,263350,201,0,0,0,0
311,264227,203,0,0,0,0
312,265087,202,0,0,0,0
313,265944,201,0,0,0,0
314,266810,203,0,0,0,0
315,267683,203,0,0,0,0
316,268563,203,0,0,0,0
317,269444,203,0,0,0,0
318,270319,204,0,0,0,0
319,271162,204,0,0,0,0
320,272019,203,0,0,0,0
321,272900,202,0,0,0,0
322,273823,200,0,0,0,0
323,274741,200,0,0,0,0
324,275642,201,0,0,0,0
325,276541,200,0,0,0,0
326,277443,195,0,0,0,0
327,278322,202,0,0,0,0
328,279153,201,0,0,0,0
329,280001,198,0,0,0,0
330,280867,162,0,0,0,0
331,281704,176,0,0,0,0
332,282502,168,0,0,0,0
333,283291,240,0,0,0,0
334,284091,244,0,0,0,0
335,284903,270,0,0,0,0
336,285700,264,0,0,0,0
337,286526,335,0,0,0,0
338,287301,256,0,0,0,0
339,288155,256,0,0,0,0
340,288945,269,0,0,0,0
341,289746,270,0,0,0,0
342,290560,203,0,0,0,0
343,291448,212,0,0,0,0
344,292388,213,0,0,0,0
345,293329,214,0,0,0,0
346,294277,213,0,0,0,0
347,295214,213,0,0,0,0
348,296096,215,0,0,0,0
349,296978,215,0,0,0,0
350,297863,215,0,0,0,0
351,298766,216,0,0,0,0
352,299691,216,0,0,0,0
353,300626,215,0,0,0,0
354,301569,212,0,0,0,0
355,302517,211,0,0,0,0
356,303482,210,0,0,0,0
357,304451,212,0,0,0,0
358,305396,213,0,0,0,0
359,306317,212,0,0,0,0
360,307220,212,0,0,0,0
361,308112,212,0,0,0,0
362,308996,212,0,0,0,0
363,309873,210,0,0,0,0
364,310804,210,0,0,0,0
365,311752,211,0,0,0,0
366,312696,213,0,0,0,0
367,313631,214,0,0,0,0
368,314526,209,0,0,0,0
369,315400,196,0,0,0,0
370,316293,196,0,0,0,0
371,317180,196,0,0,0,0
372,318049,194,0,0,0,0
373,318940,199,0,0,0,0
374,319890,211,0,0,0,0
375,320854,212,0,0,0,0
376,321822,212,0,0,0,0
377,322757,215,0,0,0,0
378,323642,216,0,0,0,0
379,324518,218,0,0,0,0
380,325415,219,0,0,0,0
381,326319,220,0,0,0,0
382,327211,219,0,0,0,0
383,328085,221,0,0,0,0
384,328951,221,0,0,0,0
385,329792,221,0,0,0,0
386,330596,213,0,0,0,0
387,331393,212,0,0,0,0
388,332233,209,0,0,0,0
389,333142,208,0,0,0,0
390,334032,207,0,0,0,0
391,334928,212,0,0,0,0
392,335824,212,0,0,0,0
393,336704,212,0,0,0,0
394,337537,212,0,0,0,0
395,338355,213,0,0,0,0
396,339177,214,0,0,0,0
397,340022,215,0,0,0,0
398,340891,216,0,0,0,0
399,341748,217,0,0,0,0
400,342603,217,0,0,0,0
401,343451,218,0,0,0,0
402,344307,218,0,0,0,0
403,345161,217,0,0,0,0
404,346016,218,0,0,0,0
405,346887,216,0,0,0,0
406,347750,216,0,0,0,0
407,348636,216,0,0,0,0
408,349587,215,0,0,0,0
409,350546,215,0,0,0,0
410,351484,216,0,0,0,0
411,352395,201,0,0,0,0
412,353295,202,0,0,0,0
413,354178,203,0,0,0,0
414,355018,202,0,0,0,0
415,355830,201,0,0,0,0
416,356671,215,0,0,0,0
417,357556,214,0,0,0,0
418,358490,213,0,0,0,0
419,359378,214,0,0,0,0
420,360275,213,0,0,0,0
421,361191,212,0,0,0,0
422,362138,212,0,0,0,0
423,363050,214,0,0,0,0
424,363913,214,0,0,0,0
425,364768,215,0,0,0,0
426,365639,215,0,0,0,0
427,366529,214,0,0,0,0
428,367436,213,0,0,0,0
429,368303,212,0,0,0,0
430,369184,212,0,0,0,0
431,370104,211,0,0,0,0
432,371026,211,0,0,0,0
433,371939,210,0,0,0,0
