num, time, PAT, eSBP, eDBP, tSBP, tDBP
211,152762,-1,0,0,0,0
212,153518,200,0,0,0,0
213,154307,193,0,0,0,0
214,155140,196,0,0,0,0
215,155949,194,0,0,0,0
216,156819,193,0,0,0,0
217,157663,191,0,0,0,0
218,158529,200,0,0,0,0
219,159427,201,0,0,0,0
220,160303,214,0,0,0,0
221,161072,200,0,0,0,0
222,161838,197,0,0,0,0
223,162607,210,0,0,0,0
224,163399,204,0,0,0,0
225,164184,141,0,0,0,0
226,164977,176,0,0,0,0
227,165644,173,0,0,0,0
228,166390,166,0,0,0,0
229,167121,139,0,0,0,0
230,167837,133,0,0,0,0
231,168535,165,0,0,0,0
232,168912,501,0,0,0,0
233,169949,151,0,0,0,0
234,170540,233,0,0,0,0
235,171190,223,0,0,0,0
236,171845,238,0,0,0,0
237,172514,229,0,0,0,0
238,173189,96,0,0,0,0
239,173883,269,0,0,0,0
240,174564,156,0,0,0,0
241,175240,45,0,0,0,0
242,175899,177,0,0,0,0
243,176557,208,0,0,0,0
244,177207,222,0,0,0,0
245,177849,209,0,0,0,0
246,178474,145,0,0,0,0
247,179105,206,0,0,0,0
248,179754,211,0,0,0,0
249,180473,202,0,0,0,0
250,181253,129,0,0,0,0
251,182031,196,0,0,0,0
252,182814,-1,0,0,0,0
253,183581,210,0,0,0,0
254,184310,210,0,0,0,0
255,185041,214,0,0,0,0
256,185798,211,0,0,0,0
257,186587,204,0,0,0,0
258,187392,212,0,0,0,0
259,188209,151,0,0,0,0
260,188926,200,0,0,0,0
261,189740,207,0,0,0,0
262,190570,220,0,0,0,0
263,191381,224,0,0,0,0
264,192153,209,0,0,0,0
265,192942,202,0,0,0,0
266,193711,208,0,0,0,0
267,194458,239,0,0,0,0
268,195163,155,0,0,0,0
269,195869,281,0,0,0,0
270,196599,216,0,0,0,0
271,197058,86,0,0,0,0
272,197403,204,0,0,0,0
273,198252,206,0,0,0,0
274,199126,205,0,0,0,0
275,200016,219,0,0,0,0
276,200798,225,0,0,0,0
277,201566,218,0,0,0,0
278,202333,263,0,0,0,0
279,203096,71,0,0,0,0
280,203871,166,0,0,0,0
281,204620,250,0,0,0,0
282,205393,181,0,0,0,0
283,206167,194,0,0,0,0
284,206905,181,0,0,0,0
285,207719,185,0,0,0,0
286,208554,-1,0,0,0,0
287,209352,160,0,0,0,0
288,210168,205,0,0,0,0
289,211003,225,0,0,0,0
290,211752,273,0,0,0,0
291,212502,283,0,0,0,0
292,213212,289,0,0,0,0
293,213895,188,0,0,0,0
294,214573,112,0,0,0,0
295,215232,416,0,0,0,0
296,215881,8,0,0,0,0
297,216518,228,0,0,0,0
298,217154,251,0,0,0,0
299,218417,259,0,0,0,0
300,219862,37,0,0,0,0
301,220697,241,0,0,0,0
302,221589,198,0,0,0,0
303,222405,214,0,0,0,0
304,223224,220,0,0,0,0
305,224056,208,0,0,0,0
306,224887,416,0,0,0,0
307,225671,179,0,0,0,0
308,226492,224,0,0,0,0
309,227282,220,0,0,0,0
310,228169,208,0,0,0,0
311,229138,209,0,0,0,0
312,230086,215,0,0,0,0
313,230973,216,0,0,0,0
314,231889,216,0,0,0,0
315,232792,215,0,0,0,0
316,233631,210,0,0,0,0
317,234507,208,0,0,0,0
318,235338,206,0,0,0,0
319,236252,205,0,0,0,0
320,237218,215,0,0,0,0
321,238073,216,0,0,0,0
322,238485,-1,0,0,0,0
323,238859,201,0,0,0,0
324,239620,232,0,0,0,0
325,240317,213,0,0,0,0
326,241593,275,0,0,0,0
327,242282,208,0,0,0,0
328,242912,193,0,0,0,0
329,243526,211,0,0,0,0
330,244143,195,0,0,0,0
331,244809,170,0,0,0,0
332,245365,215,0,0,0,0
333,245962,223,0,0,0,0
334,246569,206,0,0,0,0
335,247171,200,0,0,0,0
336,247774,213,0,0,0,0
337,248372,205,0,0,0,0
338,248975,194,0,0,0,0
339,249579,207,0,0,0,0
340,250189,183,0,0,0,0
341,250799,179,0,0,0,0
342,251419,195,0,0,0,0
343,252046,195,0,0,0,0
344,252698,187,0,0,0,0
345,253384,183,0,0,0,0
346,254098,187,0,0,0,0
347,254839,185,0,0,0,0
348,255559,165,0,0,0,0
349,256246,231,0,0,0,0
350,256913,194,0,0,0,0
351,257550,173,0,0,0,0
352,258186,197,0,0,0,0
353,258848,189,0,0,0,0
